측정일자,측정소명,미세먼지(㎍/㎥)
20141217,동작구,0
20141217,노원구,0
20141217,성북구,0
20141217,광진구,0
20141217,은평구,0
20141218,광진구,0
20141218,동작구,0
20141218,은평구,0
20141218,성북구,0
20141218,노원구,0
20141219,동작구,0
20141219,노원구,0
20141219,광진구,0
20141219,은평구,0
20141219,성북구,0
20141220,성북구,0
20141220,동작구,0
20141220,노원구,0
20141220,광진구,0
20141220,은평구,0
20141221,성북구,0
20141221,은평구,0
20141221,광진구,0
20141221,노원구,0
20141221,동작구,0
20141222,노원구,0
20141222,성북구,0
20141222,동작구,0
20141222,광진구,0
20141222,은평구,0
20141223,노원구,0
20141223,동작구,0
20141223,광진구,0
20141224,노원구,0
20141225,노원구,0
20141226,광진구,0
20141227,광진구,0
20141228,광진구,0
20141229,광진구,0
20150404,서초구,0
20150422,동작구,0
20150502,성북구,0
20150502,양천구,0
20150503,양천구,0
20150503,성북구,0
20150504,성북구,0
20150505,성북구,0
20150613,동작구,0
20150614,동작구,0
20150727,도봉구,0
20150728,도봉구,0
20150823,마포구,0
20150923,구로구,0
20151025,용산구,0
20151123,영등포구,0
20151125,영등포구,0
20151129,양천구,0
20151209,광진구,0
20151209,종로구,0
20160103,강서구,0
20160103,성동구,0
20160130,양천구,0
20160131,양천구,0
20160201,양천구,0
20160202,양천구,0
20160203,양천구,0
20160204,양천구,0
20160205,양천구,0
20160206,양천구,0
20160207,양천구,0
20160208,양천구,0
20160209,양천구,0
20160210,양천구,0
20160211,양천구,0
20160212,양천구,0
20160213,양천구,0
20160224,중구,0
20160228,강동구,0
20160306,중구,0
20160421,영등포구,0
20160422,영등포구,0
20160423,영등포구,0
20160424,영등포구,0
20160425,영등포구,0
20160519,강남구,0
20160606,성동구,0
20160612,구로구,0
20160624,구로구,0
20160625,구로구,0
20160626,구로구,0
20160627,구로구,0
20160628,구로구,0
20160629,구로구,0
20160630,구로구,0
20160701,구로구,0
20160702,은평구,0
20160702,구로구,0
20160703,은평구,0
20160703,구로구,0
20160704,구로구,0
20160705,구로구,0
20160706,구로구,0
20160822,동대문구,0
20160924,동작구,0
20160924,종로구,0
20160925,동작구,0
20160925,종로구,0
20160926,종로구,0
20160926,동작구,0
20160927,종로구,0
20160927,동작구,0
20160928,동작구,0
20160928,종로구,0
20160929,동작구,0
20160929,종로구,0
20160930,종로구,0
20160930,동작구,0
20161001,종로구,0
20161001,동작구,0
20161002,동작구,0
20161002,종로구,0
20161003,종로구,0
20161003,동작구,0
20161004,종로구,0
20161004,동작구,0
20161005,종로구,0
20161005,중구,0
20161006,중구,0
20161007,중구,0
20161008,중구,0
20161009,중구,0
20161010,중구,0
20161011,노원구,0
20161011,중구,0
20161012,노원구,0
20161012,중구,0
20161013,중구,0
20161014,중구,0
20161015,중구,0
20161016,중구,0
20161017,중구,0
20161018,중구,0
20161019,중구,0
20161020,중구,0
20161102,성북구,0
20161103,성북구,0
20161104,성북구,0
20161105,성북구,0
20161106,성북구,0
20161107,성북구,0
20161108,성북구,0
20161109,성북구,0
20161110,성북구,0
20161111,성북구,0
20161112,성북구,0
20161112,동작구,0
20161113,동작구,0
20161113,노원구,0
20161113,성북구,0
20161113,종로구,0
20161114,성북구,0
20161119,노원구,0
20161213,강북구,0
20161214,강북구,0
20161215,강북구,0
20170122,강서구,0
20170123,강서구,0
20170322,강남구,0
20170323,강남구,0
20170324,강남구,0
20170325,강남구,0
20170326,강남구,0
20170423,종로구,0
20170516,은평구,0
20170703,관악구,0
20170704,관악구,0
20170705,관악구,0
20171009,강서구,0
20171216,강서구,0
20171217,강서구,0
20171218,강서구,0
20171219,강서구,0
20171220,강서구,0
20171221,강서구,0
20171222,강서구,0
20171223,서대문구,0
20171223,강서구,0
20171224,서대문구,0
20171224,강서구,0
20171225,서대문구,0
20171225,강서구,0
20171226,서대문구,0
20171226,강서구,0
20171227,서대문구,0
20171227,강서구,0
20171228,서대문구,0
20171228,강서구,0
20171229,서대문구,0
20171229,강서구,0
20171230,서대문구,0
20171230,강서구,0
20171231,서대문구,0
20171231,강서구,0
20180101,강서구,0
20180101,서대문구,0
20180102,서대문구,0
20180103,서대문구,0
20180104,서대문구,0
20180105,서대문구,0
20180106,서대문구,0
20180107,서대문구,0
20180108,서대문구,0
20180109,서대문구,0
20180110,서대문구,0
20180111,서대문구,0
20180112,서대문구,0
20180224,서초구,0
20180224,구로구,0
20180225,서초구,0
20180225,구로구,0
20180226,서초구,0
20180226,구로구,0
20180227,서초구,0
20180227,구로구,0
20180227,용산구,0
20180228,서초구,0
20180228,구로구,0
20180228,용산구,0
20180301,서초구,0
20180301,구로구,0
20180301,용산구,0
20180302,서초구,0
20180302,구로구,0
20180302,용산구,0
20180303,서초구,0
20180303,구로구,0
20180303,용산구,0
20180304,서초구,0
20180304,구로구,0
20180304,용산구,0
20180305,서초구,0
20180305,구로구,0
20180305,용산구,0
20180306,용산구,0
20180307,용산구,0
20180308,용산구,0
20180309,용산구,0
20180310,용산구,0
20180311,용산구,0
20180312,용산구,0
20180425,성동구,0
20180726,마포구,0
20180727,마포구,0
20180728,마포구,0
20180729,마포구,0
20180801,마포구,0
20180802,마포구,0
20180803,마포구,0
20181001,서대문구,0
20181020,서대문구,0
20181021,서대문구,0
20181022,서대문구,0
20181023,서대문구,0
20181024,서대문구,0
20181025,서대문구,0
20181026,서대문구,0
20181027,서대문구,0
20181028,서대문구,0
20181029,서대문구,0
20181030,송파구,0
20181030,서대문구,0
20181031,송파구,0
20181031,서대문구,0
20181101,송파구,0
20181101,서대문구,0
20181102,송파구,0
20181102,서대문구,0
20181103,송파구,0
20181103,서대문구,0
20181104,서대문구,0
20181104,송파구,0
20181105,송파구,0
20181105,서대문구,0
20181106,송파구,0
20181106,서대문구,0
20181107,송파구,0
20181107,서대문구,0
20181108,송파구,0
20181108,서대문구,0
20181109,송파구,0
20181110,송파구,0
20181111,송파구,0
20181112,송파구,0
20181125,서대문구,0
20191213,강서구,0
20191117,강동구,0
20191116,강동구,0
20191110,성동구,0
20191024,동대문구,0
20191023,중랑구,0
20191023,동대문구,0
20191022,중랑구,0
20191022,동대문구,0
20191021,마포구,0
20191021,중랑구,0
20191021,동대문구,0
20191021,관악구,0
20191020,마포구,0
20191020,중랑구,0
20191020,동대문구,0
20191020,관악구,0
20191019,마포구,0
20191019,중랑구,0
20191019,동대문구,0
20191019,관악구,0
20191018,마포구,0
20191018,중랑구,0
20191018,동대문구,0
20191018,관악구,0
20191017,마포구,0
20191017,중랑구,0
20191017,동대문구,0
20191017,관악구,0
20191016,마포구,0
20191016,중랑구,0
20191016,동대문구,0
20191016,관악구,0
20191015,마포구,0
20191015,중랑구,0
20191015,동대문구,0
20191015,관악구,0
20191014,마포구,0
20191014,중랑구,0
20191014,동대문구,0
20191014,관악구,0
20191013,마포구,0
20191013,중랑구,0
20191013,동대문구,0
20191013,관악구,0
20191012,마포구,0
20191012,중랑구,0
20191012,동대문구,0
20191012,관악구,0
20191011,마포구,0
20191011,중랑구,0
20191011,동대문구,0
20191011,관악구,0
20191010,마포구,0
20191010,중랑구,0
20191010,관악구,0
20191009,마포구,0
20191009,중랑구,0
20191009,관악구,0
20191008,마포구,0
20191008,중랑구,0
20191008,동대문구,0
20191008,관악구,0
20191007,마포구,0
20191007,중랑구,0
20191007,동대문구,0
20191007,관악구,0
20191006,마포구,0
20191006,중랑구,0
20191006,동대문구,0
20191006,관악구,0
20191005,마포구,0
20191005,중랑구,0
20191005,동대문구,0
20191005,관악구,0
20191004,마포구,0
20191004,중랑구,0
20191004,동대문구,0
20191004,관악구,0
20191003,마포구,0
20191003,중랑구,0
20191003,동대문구,0
20191003,관악구,0
20191002,마포구,0
20191002,중랑구,0
20191002,동대문구,0
20191002,관악구,0
20191001,마포구,0
20191001,중랑구,0
20191001,동대문구,0
20191001,관악구,0
20190930,마포구,0
20190930,중랑구,0
20190930,동대문구,0
20190930,관악구,0
20190929,마포구,0
20190929,중랑구,0
20190929,동대문구,0
20190929,관악구,0
20190928,마포구,0
20190928,중랑구,0
20190928,동대문구,0
20190928,관악구,0
20190927,마포구,0
20190927,중랑구,0
20190927,동대문구,0
20190927,관악구,0
20190926,마포구,0
20190926,중랑구,0
20190926,동대문구,0
20190926,관악구,0
20190925,마포구,0
20190925,중랑구,0
20190925,동대문구,0
20190925,관악구,0
20190924,마포구,0
20190924,중랑구,0
20190924,동대문구,0
20190924,관악구,0
20190923,마포구,0
20190923,중랑구,0
20190923,동대문구,0
20190923,관악구,0
20190922,은평구,0
20190922,마포구,0
20190922,중랑구,0
20190922,동대문구,0
20190922,관악구,0
20190921,은평구,0
20190921,마포구,0
20190921,중랑구,0
20190921,동대문구,0
20190921,관악구,0
20190920,마포구,0
20190920,관악구,0
20190919,마포구,0
20190919,관악구,0
20190918,마포구,0
20190918,관악구,0
20190917,마포구,0
20190917,관악구,0
20190916,관악구,0
20190915,관악구,0
20190914,관악구,0
20190913,관악구,0
20190912,관악구,0
20190911,관악구,0
20190910,관악구,0
20190909,관악구,0
20190906,관악구,0
20190906,강남구,0
20190905,관악구,0
20190905,강남구,0
20190904,관악구,0
20190904,강남구,0
20190903,관악구,0
20190903,강남구,0
20190902,관악구,0
20190902,강남구,0
20190901,관악구,0
20190901,강남구,0
20190831,관악구,0
20190831,강남구,0
20190825,성북구,0
20190818,마포구,0
20190717,성북구,0
20190715,은평구,0
20190714,은평구,0
20190713,은평구,0
20190712,은평구,0
20200614,동작구,0
20200613,동작구,0
20200524,중구,0
20200322,중랑구,0
20200321,중랑구,0
20200119,금천구,0
