일시,경기_수원시_kbs수원센터(kbs수원아트홀),경기_수원시_수원sk아트리움,경기_수원시_수원광교박물관,경기_수원시_수원박물관,경기_수원시_수원시립아이파크미술관,경기_수원시_수원월드컵경기장(축구박물관),경기_수원시_수원종합운동장(수원국민체육센터),경기_수원시_수원화성박물관,경기_수원시_해우재,경기_수원시_화성,경기_수원시_화성행궁(낙남헌),경기_성남시_남서울컨트리클럽,경기_성남시_성남가족캠핑숲,경기_성남시_성남아트센터,경기_성남시_신구대학교 식물원,경기_성남시_판교박물관,경기_성남시_한국잡월드,경기_안양시_김중업박물관,경기_부천시_웅진플레이도시- 골프연습장,경기_부천시_웅진플레이도시-워터파크&스파,경기_부천시_한국만화박물관,경기_광명시_광명도덕산캠핑장,경기_광명시_광명동굴,경기_광명시_광명스피돔,경기_동두천시_소요산관광지(자재암),경기_동두천시_자유수호평화박물관,경기_안산시_경기도미술관,경기_안산시_대부해솔길(구봉도공영주차장),경기_안산시_대부해솔길(종현어촌마을입구),경기_안산시_베르아델승마클럽,경기_안산시_성호기념관,경기_안산시_세종도예원,경기_안산시_수리산입구,경기_안산시_아일랜드리조트,경기_안산시_안산어촌민속박물관,경기_안산시_유리섬,경기_안산시_종이미술관,경기_고양시_123컨트리클럽,경기_고양시_KINTEX(한국국제전시장),경기_고양시_고양아람누리,경기_고양시_고양어린이박물관,경기_고양시_고양어울림누리,경기_고양시_고양원마운트,경기_고양시_고양종합운동장,경기_고양시_고양체육관,경기_고양시_뉴코리아컨트리클럽,경기_고양시_배다골테마파크,경기_고양시_서오릉,경기_고양시_아쿠아플라넷 일산,경기_고양시_중남미문화원,경기_고양시_쥬쥬테마동물원,경기_고양시_증권박물관,경기_고양시_한양컨트리클럽,경기_고양시_항공우주박물관,경기_고양시_행주산성,경기_과천시_경마공원,경기_과천시_국립과천과학관,경기_과천시_국립현대미술관 과천관,경기_과천시_서울랜드,경기_구리시_구리시 고구려 대장간마을,경기_구리시_동구릉,경기_남양주시_광릉,경기_남양주시_남양주유기농테마파크(남양주유기농박물관),경기_남양주시_모란미술관,경기_남양주시_몽골문화촌,경기_남양주시_서호미술관,경기_남양주시_양주컨트리클럽,경기_남양주시_우석헌자연사박물관,경기_남양주시_축령산자연휴양림,경기_남양주시_홍유릉,경기_오산시_경기도립 물향기수목원,경기_의왕시_바라산자연휴양림,경기_용인시_경기도 어린이 박물관,경기_용인시_골드컨트리클럽,경기_용인시_국가보훈처 88골프장,경기_용인시_글렌로스 골프클럽,경기_용인시_농도원목장,경기_용인시_레이크사이드컨트리클럽,경기_용인시_백남준 아트센터,경기_용인시_수원컨트리클럽,경기_용인시_아시아나컨트리클럽,경기_용인시_에버랜드,경기_용인시_용인 대장금 파크,경기_용인시_용인 자연휴양림,경기_용인시_용인농촌테마파크,경기_용인시_용인시박물관,경기_용인시_용인컨트리클럽,경기_용인시_은화삼컨트리클럽,경기_용인시_이영미술관,경기_용인시_캐리비안베이(워터파크),경기_용인시_코리아컨트리클럽,경기_용인시_태광컨트리클럽,경기_용인시_한국등잔박물관,경기_용인시_한국민속촌,경기_용인시_한성컨트리클럽,경기_용인시_한택식물원,경기_용인시_한화호텔앤드리조트(플라자CC),경기_용인시_호박등불마을,경기_용인시_호암미술관,경기_파주시_공릉관광지(하니랜드),경기_파주시_두루뫼박물관,경기_파주시_벽초지수목원,경기_파주시_산머루농원,경기_파주시_서서울컨트리클럽,경기_파주시_서원밸리골프클럽,경기_파주시_소울원,경기_파주시_쇠꼴마을,경기_파주시_영집궁시박물관,경기_파주시_임진각관광지,경기_파주시_통일전망대,경기_파주시_파주삼릉,경기_파주시_파주영어마을,경기_파주시_파주임실치즈스쿨,경기_파주시_헤이리예술마을,경기_파주시_황희선생유적지,경기_이천시_비에이비스타컨트리클럽,경기_이천시_이천시립월전미술관,경기_이천시_자연나라관광농원,경기_이천시_호텔미란다(이천스파플러스),경기_안성시_과채류마을,경기_안성시_구메농사마을,경기_안성시_꽃뫼마을,경기_안성시_너리굴문화마을,경기_안성시_미리내마을,경기_안성시_미리내성지,경기_안성시_서일농원,경기_안성시_선비마을,경기_안성시_신안컨트리클럽,경기_안성시_안성3.1운동기념관,경기_안성시_안성맞춤 천문과학관,경기_안성시_안성맞춤공예문화센터,경기_안성시_안성맞춤박물관,경기_안성시_안성맞춤캠핑장,경기_안성시_안성베네스트G.C.,경기_안성시_안성팜랜드,경기_안성시_안성허브마을,경기_안성시_용설호문화마을,경기_안성시_이경순소리박물관,경기_안성시_인처골마을,경기_안성시_조병화문학관,경기_안성시_청룡사,경기_안성시_칠장사,경기_안성시_파인크리크컨트리클럽,경기_안성시_풍산개마을,경기_안성시_향토사료관,경기_김포시_김포시사이드컨트리클럽,경기_김포시_김포청소년수련원,경기_김포시_김포함상공원,경기_김포시_다도박물관,경기_김포시_덕포진교육박물관,경기_김포시_아라뱃길김포터미널(유람선승선객),경기_김포시_약암관광호텔(입욕객),경기_김포시_장릉,경기_김포시_태산패밀리파크(체험프로그램),경기_화성시_우리꽃식물원,경기_화성시_융건릉,경기_화성시_향토박물관,경기_광주시_경기도자박물관,경기_광주시_남한산성 행궁,경기_광주시_일본군위안부역사관,경기_양주시_(재)송암스페이스센터,경기_양주시_국립아세안자연휴양림,경기_양주시_북한산국립공원,경기_양주시_양주시립장욱진미술관,경기_양주시_조명박물관,경기_양주시_회암사지박물관,경기_포천시_국립수목원,경기_포천시_비둘기낭캠핑장,경기_포천시_신북리조트 스프링폴,경기_포천시_어메이징파크,경기_포천시_포천아도니스컨트리클럽,경기_포천시_포천아트밸리,경기_포천시_포천한과박물관(한가원),경기_포천시_허브아일랜드,경기_여주시_강천보,경기_여주시_금은모래캠핑장,경기_여주시_명성황후생가,경기_여주시_목아불교박물관,경기_여주시_신륵사,경기_여주시_여주박물관,경기_여주시_여주시립폰박물관,경기_여주시_여주온천,경기_여주시_영릉(세종대왕),경기_여주시_이포보,경기_여주시_이포보오토캠핑장,경기_여주시_황학산수목원,경기_연천군_나룻배마을,경기_연천군_땅에미소,경기_연천군_수레울아트홀,경기_연천군_숭의전지,경기_연천군_신라경순왕릉,경기_연천군_재인폭포,경기_연천군_조선왕가,경기_연천군_한탄강관광지 오토캠핑장,경기_가평군_가평레일파크,경기_가평군_강씨봉자연휴양림,경기_가평군_고성청소년수련원(쁘띠프랑스),경기_가평군_남송미술관,경기_가평군_농촌체험마을,경기_가평군_대원사템플스테이,경기_가평군_백련사 템플스테이,경기_가평군_산장관광지,경기_가평군_서울학생교육원,경기_가평군_아침고요원예수목원,경기_가평군_연인산캠핑장,경기_가평군_유명산자연휴양림,경기_가평군_이화원,경기_가평군_자라섬캠핑장,경기_가평군_취옹예술관,경기_가평군_칼봉산자연휴양림,경기_가평군_크리스탈밸리컨트리클럽,경기_가평군_한화인재경영원,경기_양평군_곤충박물관,경기_양평군_국립산음자연휴양림,경기_양평군_국립중미산자연휴양림,경기_양평군_군립미술관,경기_양평군_농업박물관,경기_양평군_두물머리,경기_양평군_들꽃수목원,경기_양평군_몽양기념관,경기_양평군_민물고기생태학습관,경기_양평군_세미원,경기_양평군_소나기마을,경기_양평군_양평레일바이크,경기_양평군_용문산관광지,경기_양평군_지평의병 지평리전투기념관,경기_양평군_화서기념관
2011년 11월,,,,,,,,,,23864,17688,5947,,,,,,,32253,39835,19923,,,,18649,,,,,,,,,,,,,5910,134865,24933,,28282,,,,6811,14305,24789,,5027,13844,3315,9057,9662,21071,231518,115600,82197,99444,3626,10897,8589,,2345,10790,1010,7866,1001,10731,4534,,,,16450,15610,6024,,20361,12333,12385,9785,408119,,,4882,,4602,7752,,0,11068,17892,3571,45920,11658,3222,14968,,17813,2940,1277,15130,2992,8844,14139,,2685,681,1195485,29727,2762,12647,5927,26430,4377,18585,1314,,,,,,6700,200,,,,9789,1505,,,1062,,10725,,15000,,,,,,,6767,,,9178,,,,,,13918,9252,,,23178,,,,,,,21875,45276,,,33104,,,,9469,1082,2900,40613,,,,,,,,,,,,,,,,,,0,,,,,42103,,1598,,108,702,,47000,2114,7814,2271,8364,,1712,6156,,,,,,,,,,,,,,,,
2011년 12월,,,,,,,,,,11399,9491,2394,,,,,,,19649,64202,13846,,,,4991,,,,,,,,,,,,,2888,252390,26258,,35682,,,,3801,4306,13557,,2133,6102,1385,4308,5032,27680,173501,186426,53157,191932,1293,3748,2229,,528,3216,1250,1981,18776,6925,1695,,,,8036,7930,2739,,11631,9530,5447,3977,330788,,,1319,,1196,2464,,39081,4276,6533,1072,28614,5494,684,5779,,8566,6892,462,5300,1741,4142,6487,,1995,162,197370,26886,764,6922,3192,23410,2678,6498,527,,,,,,3600,150,,,,3523,405,,,224,,3835,,15000,,,,,,,2250,,,4494,,,,,,19607,3489,,,7247,,,,,,,14686,16541,,,5106,,,,3286,213,2100,53793,,,,,,,,,,,,,,,,,,0,,,,,38273,,1046,,103,461,,70000,1439,0,1828,5600,,1750,2435,,,,,,,,,,,,,,,,
2012년 01월,,,,,,,,,,9416,9897,694,,,,,,,17074,72313,18387,,,,6300,,,,,,,,,,,,,4124,5150,11062,,10119,,,,1388,1659,12583,,1981,10809,1740,474,2700,17906,202580,110730,30799,140926,1766,3431,1946,,300,2800,850,0,3500,6500,1205,,,70953,2984,1019,0,195,3950,10132,2657,766,340040,565,6440,1395,2630,530,172,302,54898,1585,3381,448,62021,1260,730,1989,,3479,13691,293,3200,116,1741,2875,,3010,375,128893,32910,612,5412,2195,47915,2704,1773,642,,,,,,552,212,,,,0,702,,,325,,0,,15322,,,,,,,0,,,2074,,,,,,24633,3238,,,4980,,,,,,,17076,1254,,,3234,,,,55,8314,1250,36000,,,,,,,,,,,,,,,,,,0,,,,,31465,,432,,117,337,,66000,1664,10135,6876,7004,,2401,0,,,,,,,,,,,,,,,,
2012년 02월,,,,,,,,,,11254,11712,1038,,,,,,,21546,75418,13872,,,,11896,,,,,,,,,,,,,6229,382453,12197,,10490,,,,1951,1888,13215,,1785,11112,805,2089,4690,7832,265918,78445,26515,103650,1846,3686,2255,,300,3300,850,0,3500,9000,1300,,,60965,4698,3450,1868,261,5422,9916,2601,1700,321093,1945,6260,2008,1915,709,583,257,51548,3414,3763,259,50373,2031,1164,4311,,3578,5565,291,2380,363,2285,3477,,920,142,107100,26759,579,6070,2847,72852,2356,2990,612,,,,,,765,242,,,,0,672,,,402,,0,,10022,,,,,,,0,,,2570,,,,,,18387,3477,,,5590,,,,,,,14789,810,,,4739,,,,1624,8656,1350,32000,,,,,,,,,,,,,,,,,,0,,,,,36041,,648,,148,342,,63000,1959,12339,7735,5220,,1949,944,,,,,,,,,,,,,,,,
2012년 03월,,,,,,,,,,16863,18343,4721,,,,,,,34063,24195,8888,,,,20347,,,,,,,,,,,,,13860,344539,13013,,10490,,,,6886,3402,24062,,2898,28924,485,8408,4700,16181,318771,70248,37032,88397,3462,9306,5757,,501,3786,900,7098,3500,16000,2708,,,47598,14386,15041,6208,348,18882,12643,12194,10330,299130,3457,9832,3401,2177,4370,5781,322,5557,8960,15054,855,52225,9010,3700,14985,,11443,4848,458,4440,867,7347,12080,,480,300,162021,30027,1428,8278,2392,121851,4689,14361,715,,,,,,5673,374,,,,9870,2417,,,561,,7203,,12856,,,,,,,5612,,,7554,,,,,,18225,7404,,,11896,,,,,,,25005,1806,,,14745,,,,6825,12758,1950,53000,,,,,,,,,,,,,,,,,,0,,,,,40189,,1083,,144,513,,38000,2444,16720,8784,6752,,1428,5600,,,,,,,,,,,,,,,,
2012년 04월,,,,,,,,,,31873,29332,6625,,,,,,,37181,57689,18136,,,,10853,,,,,,,,,,,,,10642,284150,13444,,18543,,,,8030,13071,37769,,5468,60108,1222,10177,2001,12286,289261,113191,56721,162094,4510,9389,9500,,800,5010,1000,7600,7200,14600,8700,,,51409,16331,17021,6732,3692,23810,10878,14089,12042,709702,4696,15946,38532,3094,7761,6869,1250,3713,10341,17452,2268,122936,10860,22490,14320,,47594,16530,716,24240,293,8008,14105,,8505,448,275265,36467,4862,10184,5838,16728,5666,16822,1867,,,,,,18688,562,,,,12120,1886,,,1896,,15582,,24418,,,,,,,7344,,,8126,,,,,,15866,14119,,,28743,,,,,,,20274,3897,,,35149,,,,9233,21639,4788,62912,,,,,,,,,,,,,,,,,,0,,,,1188,46106,48,752,953,0,1488,2781,95000,3731,18498,9962,9604,0,1742,6882,2934,,,,,,,,,,,,,,,
2012년 05월,,,,,,,,,,39201,34775,6271,,,,,,,39687,75046,17386,,,,12066,,,,,,,,,,,,,20237,302892,22076,,36302,,,,9108,22784,59327,,6765,84375,1809,11887,3524,6684,270426,135906,71886,274583,4935,15404,17000,,700,9900,1030,9000,8520,52000,13200,,,51955,21370,20785,8362,5783,27484,16133,16342,15152,968876,6397,32129,198877,5996,9236,7868,1440,77380,13468,22002,3364,152551,13018,39690,18096,,49726,32847,731,54370,575,11159,17873,,11432,1088,393832,47939,7980,14611,6573,294343,8209,19872,1834,,,,,,19122,636,,,,16611,1882,,,1962,,19146,,24966,,,,,,,8653,,,10721,,,,,,12590,21643,,,54416,,,,,,,25583,10254,,,60885,,,,11478,36719,10090,78032,,,,,,,,,,,,,,,,,,0,,,,2149,58246,320,1510,1089,0,3071,9690,169000,4983,28802,9668,11312,0,2467,8644,3627,,,,,,,,,,,,,,,
2012년 06월,,,,,,,,,,15721,24429,8005,,,,,,,39399,120092,15483,,,,9438,,,,,,,,,,,,,19031,216234,18784,,24830,,,,8732,12687,39793,,4699,46930,2657,12137,2988,3397,265457,75048,98810,174524,3715,11384,12200,,800,9000,2000,7880,20000,20000,13200,,,51916,21874,19994,8063,3896,27389,10378,15552,14572,571017,4256,26109,30868,4405,9799,8015,1740,250426,14339,23064,2978,58440,12433,13389,18800,,16918,10257,646,50700,319,11539,17429,,3940,1262,264363,35200,5881,10020,5566,26482,4924,19251,939,,,,,,18368,616,,,,14434,2026,,,1568,,16023,,18822,,,,,,,6556,,,9954,,,,,,9833,17588,,,38115,,,,,,,23153,10744,,,45037,,,,11281,23230,8252,44326,,,,,,,,,,,,,,,,,,5084,,,,2773,40170,0,872,1571,200,3176,7068,84000,3617,32377,6417,10912,0,2947,8703,1924,,,,,,,,,,,,,,,
2012년 07월,,,,,,,,,,8113,15909,5731,,,,,,,37388,138799,16443,,,,5077,,,,,,,,,,,,,15657,59313,13768,,5501,,,,7249,15785,24121,,3707,13354,2652,10120,6580,6053,329741,97733,89390,75675,2323,5984,8849,,347,9443,831,6661,15040,17136,2911,,,53334,19117,16997,7210,1384,23847,9255,11984,10625,379621,2334,26221,10961,2898,7615,6057,390,405290,11762,17974,872,37275,11230,5864,17354,,4392,6362,541,19320,420,9707,15202,,3650,933,253193,32227,2157,7105,5084,45705,3919,17111,941,,,,,,6823,462,,,,9562,1562,,,896,,10266,,10166,,,,,,,5338,,,9312,,,,,,9431,9806,,,14921,,,,,,,22453,8350,,,29354,,,,9374,17882,8700,54000,,,,,,,,,,,,,,,,,,3534,,,,4497,44210,354,1093,40,350,4009,2411,65000,6886,40682,4742,11664,0,3343,8228,4419,,,,,,,,,,,,,,,
2012년 08월,,,,,,,,,,9330,17108,4588,,,,,,,31854,171855,91419,,,,6812,,,,,,,,,,,,,13584,631577,16803,,7765,,,,5022,12715,19040,,4025,11764,2870,7169,6900,5602,274352,169469,106315,83094,2379,5276,8926,,940,9812,927,5411,18748,23009,2026,,,76473,15145,12229,6366,854,23200,22397,7967,9568,413537,2374,26829,8824,4624,4560,3238,880,505470,9661,14115,1221,42017,7340,3844,14230,,4897,7196,499,15450,258,7529,8751,,5850,522,288522,37298,1717,10097,4731,45999,4346,14270,1220,,,,,,5902,492,,,,12240,1468,,,1262,,13912,,16888,,,,,,,5020,,,7211,,,,,,10064,7557,,,11883,,,,,,,16211,8712,,,31806,,,,8352,18614,7200,57000,,,,,,,,,,,,,,,,,,2526,,,,4991,56340,324,1211,50,400,5336,2468,76000,6898,50310,5064,14688,0,4179,7391,4218,,,,,,,,,,,,,,,
2012년 09월,,,,,,,,,,19121,20623,6126,,,,,,,37703,64260,12940,,,,8081,,,,,,,,,,,,,17269,225064,7200,,2620,,,,7595,13907,33786,,5768,40830,3030,9547,6060,9903,271722,96626,62519,140915,2694,7786,8878,,1248,7287,1012,8056,12428,10921,4331,,,47870,16542,16757,7162,3737,23381,10506,13729,12519,537285,4076,21147,17945,3121,7709,6508,200,126224,11175,18663,1670,124775,11564,6299,16268,,5328,8907,4039,28750,541,9586,15246,,5335,1833,269223,34465,3751,9914,4933,309060,4964,18621,874,,,,,,12506,712,,,,12022,1768,,,1223,,15854,,10020,,,,,,,6712,,,8954,,,,,,10680,13611,,,11883,,,,,,,21863,4769,,,31500,,,,10058,19341,6300,60533,,,,,,,,,,,,,,,,,,1344,,,,2167,33602,230,1403,50,300,2198,2169,55000,3825,10922,5617,10984,30,2831,7687,2669,,,,,,,,,,,,,,,
2012년 10월,,,,,,,,,,32873,25752,6696,,,,,,,38744,57642,14945,,,,50451,,,,,,,,,,,,,7867,549984,9643,,882,,,,7469,19557,46398,,8122,64084,3596,10328,4300,23946,280604,147157,89929,290042,6356,13623,20658,,3566,15417,1205,9114,16203,16870,8359,,,54942,17168,17657,7410,5694,23408,13733,14132,13556,815055,7054,31449,32409,3199,9945,8080,152,25031,11743,20674,2056,90426,12587,15714,17175,,36543,15210,2552,89000,2732,10397,6263,,11975,1292,1236988,39863,7388,13518,10995,48855,7374,19852,723,,,,,,24120,412,,,,13257,1884,,,1384,,16334,,15588,,,,,,,6568,,,9411,,,,,,15410,22560,,,47725,,,,,,,39345,6223,,,60976,,,,11226,33870,5500,73374,,,,,,,,,,,,,,,,,,0,,,,2700,58850,362,924,100,400,2261,1625,117000,4726,28685,8174,13072,1247,3207,8017,889,,,,,,,,,,,,,,,
2012년 11월,,,,,,,,,,17555,14825,5389,,,,,,,29569,53128,18698,,,,18441,,,,,,,,,,,,,4974,440353,6549,,2550,,,,6038,3004,22314,,5743,11176,3129,8202,8500,11099,257936,105320,60110,82971,2586,5171,6625,,1097,9266,981,7451,14548,8972,2604,,,52553,14405,15119,5760,2343,19444,11437,11449,10123,385324,2954,10119,6043,4019,7825,6991,257,22527,9562,15110,1069,34040,10637,3515,13277,,18378,2045,631,19500,457,7617,5018,,3230,710,961208,21628,3871,7967,5360,32082,3385,17227,850,,,,,,5716,226,,,,8886,1668,,,1003,,10888,,14336,,,,,,,5116,,,8142,,,,,,14342,8876,,,17404,,,,,,,18226,1378,,,29219,,,,9061,16338,3200,46240,,,,,,,,,,,,,,,,,,0,,,,1784,41582,311,511,80,350,1230,2958,50000,1860,15444,5288,6420,758,2083,6000,723,,,,,,,,,,,,,,,
2012년 12월,,,,,,,,,,5867,6837,684,,,,,,,14913,68768,17083,,,,4271,,,,,,,,,,,,,1371,92930,6266,,1697,,,,1954,1119,11142,,2580,7000,1982,1427,4150,4748,278366,160525,37837,187471,1025,1830,1021,,336,1036,1134,472,11843,5339,776,,,45071,2835,3014,905,425,3465,10533,3129,1678,247074,1346,5645,990,1714,1044,1055,143,38797,1683,3274,676,22716,1960,791,1720,,6056,7044,348,24000,589,1463,1088,,2250,221,110884,19310,479,6028,3242,39360,1819,3823,606,,,,,,3486,146,,,,2612,522,,,282,,5688,,12268,,,,,,,3006,,,1450,,,,,,18111,2767,,,6458,,,,,,,11920,235,,,3820,,,,1557,9846,3500,55206,,,,,,,,,,,,,,,,,,0,,,,2029,36043,217,148,50,350,789,1244,68000,1904,10152,5291,3940,521,1973,417,823,,,,,,,,,,,,,,,
2013년 01월,,,,3233,,,,8346,4753,6105,8184,495,,,,,,,,,,,,,4354,,,,,,,,,,,,,1202,99108,3897,,9133,,6430,75108,958,4777,12498,,2488,6341,2009,275,4103,9362,244760,120791,34138,107355,1249,2164,1510,,438,1368,740,157,2853,6480,956,,,60178,1351,589,0,80,613,15131,1498,0,250880,1626,6035,3495,2509,388,0,162,56312,855,1808,680,40549,560,820,782,95,3283,11071,349,26500,336,1194,87,,1230,127,414652,15623,521,6127,2829,,1894,,,,,,,,2318,,4721,,,88,,,,1166,,0,7329,11932,,,,,,,0,,,732,,,,,,19594,3176,,,5955,,,,,,,15295,703,,,3584,,,,0,7954,1125,38373,,,,,,,,,,,,,37,162,3022,0,0,,250,7896,,2501,31001,114,10,14,155,689,2331,70000,1610,12467,5903,1304,1000,2615,0,3369,,,,,,,,,,,,,,,
2013년 02월,,,,2503,,,,4709,7535,7024,8166,1603,,,,,,,,,,,,,4445,,,,,,,,,,,,,1873,143869,3968,,3152,,38982,63963,1006,5459,14147,,2131,5154,894,707,3602,5625,194432,63068,29159,88669,1300,2228,1543,,296,1154,800,779,1844,9130,1076,,,42457,3126,1807,1891,60,1596,13490,1631,1393,261183,2579,6267,1152,1594,671,474,178,49797,1798,2941,702,34810,1179,1089,2162,125,3114,3549,186,32000,430,1909,396,,665,194,151225,17007,555,4774,1957,,2054,,,,,,,,1808,,4530,,,831,,,,625,,1784,3807,14184,,,,,,,501,,,1550,,,,,,16924,2950,,,6621,,,,,,,12043,324,,,5608,,,,534,9654,1210,30344,,,,,,,,,,,,,127,484,3238,658,1794,,197,6894,,1856,33650,115,351,22,139,767,1418,60000,1714,10709,8583,767,1300,2380,454,1636,,,,,,,,,,,,,,,
2013년 03월,,,,2592,,,,14847,16064,32013,29537,5395,,,,,,,,,,,,,11125,,,,,,,,,,,,,6973,875732,5684,,464,,2930,73843,6507,3412,34389,,3662,23759,464,7382,3505,16717,342784,72246,44829,154424,4564,7167,7111,,906,4263,960,6546,3621,17050,3536,,,82505,15038,14890,6705,460,17721,17750,12431,10193,484591,5175,14186,6494,2087,4760,5829,248,8542,9168,14536,1090,41226,8907,5995,13580,135,9638,7240,574,30800,426,7347,4110,,120,306,250364,28624,1745,9953,2842,,5185,,,,,,,,6463,,5703,,,6237,,653,,1173,,8544,19973,32076,,,,,,,6690,,,6994,,,,,,18059,9059,,,20546,,,,,,,25206,1772,,,17177,,,,7273,23256,1732,61637,,,,,,,,,,,,,84,1280,4348,1459,2627,,454,10644,,2025,44230,229,387,39,180,1253,1672,54000,4319,24148,11611,1194,2000,1744,6378,1310,,,,,,,,,,,,,,,
2013년 04월,,,,3224,,,,9020,10774,37719,28770,6373,,,,,,,,,,,,,9977,,,,,,,,,,,,,6974,178842,6744,,1267,,18348,59372,7363,13456,35352,,5160,39716,928,9289,2401,21006,274493,118154,58390,191866,4842,7761,7403,,1828,6089,813,7381,6235,12088,8537,,,45746,16477,16112,6867,4450,22744,10597,12998,11542,664357,5673,15477,36966,3489,7347,6418,868,15170,10472,15074,1038,91620,10485,19890,13556,1852,44407,8893,360,34500,1029,7755,5422,,8600,406,241121,27600,3847,14250,4985,,6138,,,,,,,,10809,,6922,,,7726,,1822,,2173,,9624,26029,30524,,,,,,,8388,,,8209,,,,,,12812,13777,,,26527,,,,,,,17798,1976,,,37251,,,,10273,20645,2864,45870,,,,,,,,,,,,,430,1568,4544,1561,2120,,617,11082,,2044,31807,126,429,500,661,1373,1744,82651,4244,19333,10085,8975,1909,2016,7753,1854,,,,,,,,,,,,,,,
2013년 05월,,,,7811,,,,10477,15551,42344,38327,6453,,,,,,,,,,,,,12472,,,,,,,,,,,,,8785,688080,9394,,1136,23695,9454,63995,8399,25261,51023,,6421,59068,1814,10893,3807,28907,301425,123127,65099,278226,6080,14788,16188,,4592,14832,1043,8334,6922,55909,15070,,,47825,20583,19311,8231,5760,27234,14991,15803,14921,1012617,9514,21649,233481,4422,8150,8166,1436,79299,13337,19823,1540,112767,12454,33052,13413,1769,42110,26226,860,110750,1779,10134,6151,,11530,957,365339,36768,7318,29250,8349,,10349,,,,,,,,13642,,13362,,,8869,,4905,,2704,,10978,49151,33604,,,,,,,9508,,,9964,,,,,,12271,21733,,,47265,,,,,,,26911,6164,,,61750,,,,12384,38398,3530,66913,,,,,,,,,,,,,615,3562,6641,1412,3133,,1202,15924,,3310,49623,573,1058,500,724,3029,5420,160601,8808,28897,10251,12390,2332,2229,9142,3768,,,,,,,,,,,,,,,
2013년 06월,,,,3582,,,,6326,16733,19399,23480,7545,,,,,,,,,,,,,9916,,,,,,,,,,,,,8694,234674,4286,,1298,122067,11180,64950,8527,7409,37010,,5596,28388,1416,11313,3113,13554,321663,71705,64243,143663,3655,11070,13593,,1872,12804,1188,8636,8420,25255,4994,,,51700,22676,18930,8223,2500,28246,11927,15550,15066,637180,6659,19689,26680,3435,8715,8543,1358,282261,14631,20792,1704,58690,12791,12421,16233,3037,19549,8892,798,51300,1626,11403,6747,,4170,1492,284290,32560,3781,14540,5779,,5682,,,,,,,,7262,,9825,,,8597,,4064,,2426,,10911,16541,25300,,,,,,,9653,,,11207,,,,,,9926,15387,,,31090,,,,,,,28183,11145,,,42778,,,,12275,25732,3126,38917,,,,,,,,,,,,,974,2576,5361,1703,2370,,977,17436,,4649,42066,336,1088,500,772,4456,5617,88326,4728,45375,6620,12371,2906,3092,9092,2103,,,,,,,,,,,,,,,
2013년 07월,,,,4197,,,,12061,14380,12048,12683,5620,,,,,,,,,,,,,4179,,,,,,,,,,,,,6113,582125,12658,,19237,96539,21440,70904,5152,7877,20196,,4726,10553,2732,10783,5113,9128,265924,89761,47797,59811,2256,4728,6335,,605,1489,386,6290,6394,14353,1532,,,52087,17037,15195,7521,992,24816,12905,10084,11018,424514,4324,13340,7968,3019,5023,5181,412,328258,10370,14689,1256,34649,10077,4032,13224,1185,7928,3098,306,20280,2316,7805,4277,,5104,544,276018,25110,1150,10160,2681,,3753,,,,,,,,5678,,7906,,,6945,,460,,2027,,9534,7248,16388,,,,,,,6294,,,9108,,,,,,8470,8272,,,11290,,,,,,,25460,7005,,,29455,,,,7828,17754,3567,26107,,,,,,,,,,,,,612,2592,5434,1957,1426,,1484,12594,,4923,30287,546,1963,280,643,3917,4810,46349,4398,31936,3448,11664,621,2449,4737,3368,,,,,,,,,,,,,,,
2013년 08월,,,,7148,,,,19239,16518,14047,19092,5896,,,,,,,,,,,,,8083,,,,,,,,,,,,,7289,361691,16938,,19155,161712,6490,70774,4929,7998,25396,,6196,14356,2587,11769,9662,9986,289722,143414,63043,132781,4202,8283,10917,,1136,1769,358,6366,6494,28064,2787,,,72058,17942,16738,7928,721,24807,19425,10450,11318,658248,3523,22835,10516,3415,4695,5751,1315,542849,11229,16195,1220,49881,9558,4718,14708,713,11125,7649,708,13260,2504,8896,4402,,7990,685,345552,41242,2430,15750,3430,,5380,,,,,,,,4888,,8633,,,6817,,2930,,2457,,9855,11078,20516,,,,,,,6249,,,9804,,,,,,9945,10456,,,17747,,,,,,,22219,28583,,,39563,,,,10481,35485,7420,48927,,,,,,,,,,,,,638,3624,5902,2290,2645,,1692,21660,,11239,53652,688,781,350,741,9174,6112,79562,4993,54586,4882,14688,847,3906,8829,3894,,,,,,,,,,,,,,,
2013년 09월,,,,5798,,,,23615,10012,20196,29361,6484,,,,,,,,,,,,,11741,,,,,,,,,,,,,7369,389598,8480,,15299,40983,26790,60660,7006,10215,36588,,5795,29955,1125,13831,5297,16810,236159,71610,67164,158432,2850,9199,11651,,1716,2424,376,7795,5926,13880,5325,,,39584,17114,16445,7233,2687,22327,8546,12886,11243,601539,5106,16995,17072,2249,7277,7537,244,131932,11151,17081,2010,109205,10945,7502,11257,494,14164,10722,2644,29400,3142,9238,5582,,4150,1130,374566,34907,3329,12530,4224,,4447,,,,,,,,6668,,11325,,,7660,,1419,,4310,,8967,15768,14984,,,,,,,8046,,,9262,,,,,,12285,13432,,,30001,,,,,,,25028,9576,,,27680,,,,11756,30225,5345,44998,,,,,,,,,,,,,600,3187,6656,1792,1661,,1494,11532,,3857,28423,181,325,270,396,3087,3845,61276,2768,23546,6631,10984,310,2579,8121,1435,,,,,,,,,,,,,,,
