지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),최다풍향(16방위),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
108,서울,2012-01,-2.8,1.3,-6.3,8.4,-12.2,20120119,20120123,1015.1,1026.1,1037.5,1015,20120107,20120131,2.6,6.2,.6,20120120,20120130,-12.8,49,12,20120130,6.7,3.9,,,20120131,,,65.2,4.7,,,20120129,,2.5,7.5,12.6,320,340,20120131,20120131,290,3.6,2.2,190.5,62.05,234.5,6.2,6.2,9.6,20120131,20120131,-12.5,-17.7,20120105,-2.3,-1.5,-1.1,-.8,-.1,1.7,5.3,8.1,14.8,17.1
108,서울,2012-02,-2,3,-6,12.1,-17.1,20120222,20120202,1013,1024,1033.2,1010.4,20120212,20120223,2.4,7.5,.7,20120223,20120211,-13.8,43,11,20120212,.8,.3,,,20120223,,,78.4,5.5,,,20120220,,2.9,8.1,12.5,290,320,20120217,20120217,290,3.4,1.4,224.9,71.74,325.25,6.2,.3,.7,20120201,20120206,-12.2,-20.4,20120201,-.7,-.9,-.8,-.7,-.3,1,3.9,6.2,12.5,15.9
108,서울,2012-03,5.1,9.5,1.5,16.2,-5.7,20120329,20120312,1008.9,1019.5,1030.8,1005.8,20120315,20120323,4.6,12.1,1.3,20120329,20120319,-5.1,52,9,20120301,47.4,22,,,20120323,,,85.9,6.4,,,20120320,,3.5,10.2,18,290,270,20120324,20120324,270,5.2,3.1,191.8,51.63,367.51,0,0,0,20120311,20120311,-2.3,-8.6,20120315,6.2,5.8,5.8,5.5,5.7,5.3,5.8,6.8,11.1,14.6
108,서울,2012-04,12.3,17.9,7.8,29.4,.6,20120430,20120407,1002.8,1013,1024.4,993.4,20120401,20120403,7.7,15.1,1.6,20120410,20120406,1.9,54,9,20120419,157,47.5,9,2,20120421,20120421,20120425,132.2,7.9,77.6,5.8,20120429,20120426,3.4,12,20,290,290,20120406,20120406,270,4.6,2.4,212.5,53.72,448.48,,,,,,3.9,-5.7,20120407,14.5,13.4,12.9,12.3,12.6,11.4,10.2,9.9,11,13.7
108,서울,2012-05,19.7,25.1,15.4,29.3,12,20120522,20120518,1001,1011,1020,1000.6,20120530,20120517,10.6,16.9,3.4,20120527,20120506,7.4,48,11,20120506,8.2,6.5,2,1,20120514,20120514,20120514,186.7,8.3,116.6,5.8,20120526,20120523,2.7,8.6,15.7,250,270,20120505,20120527,270,4.3,2.1,251.3,57.04,553.4,,,,,,10.7,5.3,20120507,24,22.8,22.1,21.4,21.7,19.3,16.6,15,12.4,13.4
108,서울,2012-06,24.1,29.7,20,33.5,16.3,20120619,20120601,997.3,1007,1017.7,996,20120601,20120619,15.7,26.6,7.7,20120630,20120603,13.5,54,21,20120619,91.9,69.5,11.5,4.5,20120630,20120630,20120630,229.3,12.6,136,8.8,20120625,20120625,2.8,9.1,19.2,50,20,20120619,20120619,70,5.4,3.1,232,52.48,534.46,,,,,,17.2,10.5,20120601,29.7,28.5,27.6,26.8,27,24.6,21.8,19.4,14.8,13.8
108,서울,2012-07,25.4,29,22.4,33.2,18.5,20120729,20120707,996,1005.6,1015.8,994.2,20120725,20120711,23.6,31.7,15.8,20120718,20120702,20.1,74,38,20120707,448.9,102.5,68,21,20120706,20120713,20120713,128.8,7.5,82.6,5.8,20120708,20120708,2.7,7.7,15.2,230,50,20120729,20120719,230,7.4,5.6,144,32.11,375.14,,,,,,20.8,15.7,20120707,26.9,26.7,26.3,25.9,26.2,25.6,24.2,23.2,18.9,15.5
108,서울,2012-08,27.1,30.9,23.9,36.7,18.7,20120805,20120831,998.6,1008.2,1016.1,983.9,20120823,20120828,23.8,30.7,14.6,20120818,20120831,20.2,68,31,20120804,464.9,137,49,13,20120821,20120815,20120821,166.2,13,111.4,9.3,20120808,20120805,3,13.7,24,200,160,20120828,20120828,70,6.8,4.8,158.7,37.71,362.84,,,,,,22.3,15.1,20120831,28.3,28.2,28,27.6,27.9,27.5,26.4,25.4,21.2,17.2
108,서울,2012-09,21,25,17.4,29.5,12,20120902,20120930,1003.6,1013.5,1023.2,993.7,20120926,20120917,15.9,24.6,8.4,20120901,20120924,13.6,65,26,20120925,212,85.5,15.5,9,20120917,20120917,20120904,114.2,9.9,70.2,6.2,20120902,20120902,2.3,11.5,20.4,50,50,20120917,20120917,50,5.6,4,190.8,51.19,356.28,,,,,,14.2,6.5,20120930,22.1,21.8,22.1,22.2,22.6,23.1,23.9,24.1,22.3,18.7
108,서울,2012-10,15.3,20.5,11,26,2.8,20121003,20121031,1008,1018.2,1025.2,1007.9,20121021,20121022,10.1,17.3,2.5,20121022,20121014,6.4,58,14,20121015,99.3,44,17,11.5,20121027,20121022,20121010,100.3,5.8,61.5,3,20121015,20121015,2.3,7.2,12.6,200,270,20121022,20121022,270,3.6,2.2,235.4,67.66,349.6,,,,,,6.5,-.4,20121018,16.2,15.4,16,16.7,17.3,18.1,20,21,21.1,19.2
108,서울,2012-11,5.5,9.5,1.8,15.7,-3,20121103,20121130,1008.7,1019.3,1028.9,1003.4,20121115,20121111,5.3,12.4,1.5,20121111,20121129,-2.9,57,15,20121129,67.8,28,,,20121111,,,57,5.5,,,20121101,,2.7,9.3,19,250,290,20121111,20121112,270,4.5,3.1,181.1,59.32,228.59,,,,,,-1.8,-7.4,20121127,5.3,5.4,6.4,7.3,8.4,9.7,13.7,16,19.3,18.9
108,서울,2012-12,-4.1,-.5,-7.4,8.3,-14.5,20121215,20121226,1013.6,1024.6,1038,1008.4,20121226,20121205,2.8,7.7,.6,20121214,20121226,-11.8,57,17,20121206,41.4,18.5,,,20121214,,,34.6,3.1,,,20121218,,2.7,8.8,14.3,290,290,20121204,20121203,290,3.5,2.2,193.6,64.81,210.32,8.7,7.8,23,20121208,20121205,-10.1,-18.7,20121206,-1.9,-1.5,-.2,.8,1.9,3.3,7.5,10.4,16.4,18
108,서울,2013-01,-3.4,.3,-6.6,11.5,-16.4,20130131,20130103,1015.3,1026.4,1039.5,1013.4,20130103,20130124,3,6.5,.8,20130121,20130126,-11.1,57,21,20130118,22.1,16.5,,,20130121,,,48.4,15,,,20130127,,2.7,8.2,13.5,270,270,20130124,20130124,270,4.3,2.8,167.7,54.55,217.73,10.9,4.9,6.1,20130102,20130101,-9.4,-19.2,20130104,-2,-2,-1.3,-.5,0,1.2,4.4,6.5,13.5,16.6
108,서울,2013-02,-1.2,2.8,-4.9,13.9,-15.8,20130228,20130208,1014.2,1025.1,1034.9,1011.1,20130208,20130228,3.2,10.7,.7,20130201,20130208,-10.3,54,15,20130224,74.1,46.5,,,20130201,,,48.7,3.3,,,20130225,,2.9,8.4,14.8,270,290,20130223,20130223,290,4.7,2.8,187.2,61.78,296.48,16.5,9,24.9,20130204,20130203,-7,-18.1,20130208,.4,0,-.3,-.1,.1,1.1,3.1,4.6,11.3,15.2
108,서울,2013-03,5.1,10.8,.7,23.8,-4.4,20130309,20130302,1007.3,1017.9,1028.9,1000.5,20130314,20130309,4.3,9.7,1.5,20130313,20130320,-5.7,49,8,20130327,27.3,11.5,,,20130313,,,96.7,8.1,,,20130309,,3,8.8,15.4,230,320,20130309,20130320,270,3.3,2.1,256.3,69.05,443.31,,,,,,-2.7,-6.7,20130321,7,6,5.7,5.5,5.5,5.1,5.4,5.9,10.1,13.9
108,서울,2013-04,10,15,5.7,21.6,1.3,20130428,20130410,1002.6,1012.9,1024.7,997.3,20130422,20130406,6.5,15.9,1.5,20130429,20130414,-.1,54,12,20130414,71.7,21,11.5,4,20130429,20130429,20130429,111.1,6.6,78.5,5.5,20130413,20130413,3.4,9.9,17.7,230,200,20130416,20130429,270,5,3.4,213.2,53.92,449.86,,,,,,2.8,-3.9,20130410,11.5,11.1,10.6,10.5,10.3,10.1,9.3,9.1,10.3,13
108,서울,2013-05,18.2,23.6,13.7,31.8,7.9,20130525,20130506,1001.5,1011.5,1022.6,996.9,20130505,20130519,11.6,21.8,3.5,20130528,20130521,8.6,58,11,20130521,132,56.5,11,2.5,20130527,20130527,20130528,143,7.9,98.3,6.5,20130516,20130516,2.9,8.5,11.6,270,70,20130505,20130527,270,4.7,2.9,238.1,54.08,513.2,,,,,,10.5,3.9,20130521,20.2,19.9,19,18.5,17.9,17.3,14.9,13.5,11.6,12.8
108,서울,2013-06,24.4,29.2,20.5,32.6,16.3,20130629,20130602,998,1007.7,1017.8,994.6,20130605,20130618,17.8,24.4,7.9,20130618,20130609,15.4,60,15,20130609,28.3,12,3.5,1,20130618,20130611,20130628,160.3,9.3,107.5,7.5,20130609,20130609,2.2,6.2,10.4,250,20,20130623,20130604,270,5.4,3.3,224,50.67,507.43,,,,,,17.3,11.6,20130602,28.2,27,26.1,25.4,24.6,23.5,20.5,18.5,13.9,13.2
108,서울,2013-07,25.5,28.3,23.4,31.3,20.5,20130701,20130703,995.3,1005,1012.8,995.6,20130714,20130702,25.6,30.7,18.8,20130729,20130701,21.4,79,40,20130701,676.2,165,42,14.5,20130713,20130722,20130722,87.1,7.1,64.1,5.7,20130703,20130703,3.4,10.9,18,230,230,20130708,20130708,230,8.5,6.5,101,22.51,268.48,,,,,,22.4,19.1,20130707,26.4,26.4,25.9,25.7,25.4,25.5,23.9,22.7,18.4,15
108,서울,2013-08,27.7,31.1,24.8,33.9,21.1,20130821,20130831,996.8,1006.5,1011.8,995.9,20130811,20130829,25.4,33.6,12.8,20130809,20130825,21.1,69,28,20130825,148.6,45,43.5,15,20130806,20130806,20130806,135.8,6.9,96.9,4.7,20130822,20130825,2.8,9.9,15.6,200,250,20130829,20130805,230,6.2,5.1,217.9,51.73,420.57,,,,,,22.5,18.1,20130831,29.5,28.7,28.1,28,27.7,27.9,26.1,24.7,19.9,16.5
108,서울,2013-09,21.8,25.9,18,31.1,10.9,20130918,20130927,1005,1014.9,1022,1007.2,20130918,20130915,16.2,26.9,4.4,20130913,20130926,13.6,63,16,20130926,138.5,50,13,4.5,20130913,20130913,20130910,109.3,6.3,74.9,4.6,20130917,20130917,2.2,6.2,11,70,50,20130922,20130922,70,5.5,3.3,191,51.22,368.82,,,,,,14.8,5.7,20130927,24.1,23.2,23.1,23.5,23.9,24,24.4,24.2,21.1,17.6
108,서울,2013-10,15.8,21.2,10.9,28.1,4.3,20131005,20131026,1010,1020.2,1030.9,1008,20131018,20131011,10.6,22.2,3.4,20131008,20131025,7,59,19,20131005,13.5,6.5,6,4.5,20131011,20131011,20131011,96.1,4.9,59.7,3.4,20131005,20131011,2.5,8.5,14.8,250,250,20131011,20131011,70,2.9,1.8,249.9,71.79,372.79,,,,,,6.6,0,20131026,16.4,16.2,16.5,17.3,18.3,18.9,20.8,21.6,20.8,18.4
108,서울,2013-11,6.2,10.7,2.1,20.7,-6.4,20131101,20131128,1009.6,1020.2,1028.3,997.4,20131105,20131125,5.9,13.1,1.7,20131106,20131128,-2.1,58,18,20131108,46.8,14,,,20131124,,,60,4.2,,,20131120,,2.7,12.6,20,230,230,20131125,20131125,270,3.9,2.7,188,61.56,233.94,,,,,,-1.5,-9.5,20131129,5.8,6.7,7.2,8.3,10.1,11.2,15,17,19.4,18.4
108,서울,2013-12,-.2,3.5,-3.5,11,-9.8,20131207,20131228,1011.3,1022.2,1033.9,1007,20131215,20131209,3.8,8.1,1.3,20131205,20131228,-7.3,60,20,20131206,24.7,14,,,20131209,,,41.8,2.3,,,20131206,,2.4,8.3,13.2,230,200,20131231,20131231,270,4,3.2,184.4,61.73,202.42,5.8,4.4,13.5,20131212,20131212,-7.1,-15.4,20131213,.4,1.2,1.6,2.5,4,5,8.8,11.6,17,17.8
108,서울,2014-01,-.7,3.5,-4.9,8.2,-10.5,20140129,20140113,1014.3,1025.2,1035.3,1012.4,20140113,20140101,3.1,8.2,.6,20140125,20140109,-10.7,50,13,20140129,13,5.3,,,20140120,,,45.9,2.7,,,20140128,,2.4,7.8,14.8,270,270,20140101,20140101,290,3.4,2.6,184.4,60.03,225.31,6.1,5.3,8,20140121,20140120,-8.1,-14.8,20140122,-.9,-.7,-.6,.1,1.2,2.1,5.1,7.9,14.3,16.8
108,서울,2014-02,1.9,6.6,-1.8,16.4,-10.5,20140226,20140204,1014.4,1025.3,1033,1009.1,20140222,20140202,3.8,8.6,.7,20140202,20140204,-7.7,52,16,20140206,16.2,11,,,20140201,,,54.5,3,,,20140221,,2.7,7.4,12.1,70,70,20140207,20140207,70,4,1.9,163.9,54.15,268.4,5.8,5.8,6.6,20140209,20140208,-4.8,-12,20140205,2.1,1.8,1.6,2,2.4,2.6,4.1,6.4,12.3,15.5
108,서울,2014-03,7.9,13.1,3.5,23.8,-4.6,20140328,20140307,1009.1,1019.6,1032.8,1004.8,20140307,20140330,6.7,16.3,1.6,20140329,20140309,-.2,60,16,20140305,7.2,3.5,,,20140329,,,95.3,4.7,,,20140321,,3,9.1,15.5,230,230,20140317,20140317,270,3.9,2.4,214.7,57.9,392.05,1.9,1.9,2.1,20140309,20140309,.2,-7.7,20140310,9.4,8.2,7.9,7.8,7.6,7.7,7.4,7.9,11.3,14.3
108,서울,2014-04,14,19.6,9.4,26.2,2.3,20140424,20140406,1006.8,1017,1025,1008.6,20140425,20140430,9.2,16.3,3,20140427,20140404,5.1,60,15,20140401,31,13.5,3.5,1,20140428,20140429,20140429,99.3,5.6,77.8,4.3,20140425,20140424,2.8,9.3,18.4,250,50,20140406,20140403,270,4.7,2.5,213.2,53.97,455,,,,,,5.7,-3,20140404,17.9,15.8,15.2,14.8,14.1,13.5,12.4,11.8,11.6,13.7
108,서울,2014-05,18.9,25.3,13.8,33.3,6.8,20140531,20140505,1000.5,1010.4,1022.3,997.6,20140510,20140527,12.6,22.2,3.8,20140528,20140506,9.8,59,18,20140506,63,23,9,2.5,20140511,20140511,20140525,145.5,6.3,118.9,5.9,20140530,20140527,3.2,11.1,16.3,230,270,20140512,20140504,270,3.2,1.6,304,69.12,627.82,,,,,,10.3,3.2,20140506,23.3,21.6,20.6,20,,18.1,16.5,15.7,13,13.6
108,서울,2014-06,23.1,27.8,19.7,31.1,17.3,20140606,20140612,996.4,1006.2,1013.7,999.7,20140601,20140612,20,26.6,14.4,20140621,20140606,17.5,73,32,20140606,98.1,33,14.5,10.5,20140603,20140623,20140623,112.4,5.5,90.7,5.2,20140606,20140606,2.6,8.3,14.2,230,20,20140628,20140623,270,6.7,4.5,184.9,41.81,465.41,,,,,,17.4,14.9,20140612,25.9,25.2,24.4,24,23,22.7,21,19.9,15,14
108,서울,2014-07,26.1,30.6,22.9,34.4,19.1,20140731,20140724,997.2,1006.9,1013.2,993.8,20140719,20140710,24.6,35.4,15.1,20140731,20140710,20.7,74,27,20140707,207.9,59.5,34.5,14.5,20140725,20140725,20140702,114.5,6.3,95,5.9,20140711,20140711,2.8,10.8,18.2,230,200,20140726,20140726,230,6.8,5.1,172.7,38.48,296.02,,,,,,20.7,17.2,20140707,29.2,28.1,27.3,26.8,25.3,25.4,23.9,22.7,17.1,15
108,서울,2014-08,25.2,29,22.1,35.8,18.3,20140802,20140811,998.3,1008,1017.7,994.9,20140828,20140803,24.2,34.2,14.6,20140804,20140809,20.4,77,32,20140809,172.8,46.5,25.5,7.5,20140821,20140810,20140810,86.6,6.5,70,4.3,20140809,20140802,2.4,9.3,15.7,70,70,20140810,20140810,70,7.1,4.6,150.7,35.75,352.98,,,,,,20,15.8,20140811,26.6,26.2,25.8,25.8,24.7,25.9,24.9,23.8,19.5,16.5
108,서울,2014-09,22.1,27,18,31.3,14.9,20140907,20140919,1003.3,1013.2,1020.4,1000.3,20140922,20140903,17.8,26.4,9,20140901,20140920,15.3,69,22,20140920,88.1,57.5,11.5,4,20140903,20140903,20140903,89.2,4.5,67.7,3.8,20140916,20140906,2.1,7.1,11.7,70,20,20140903,20140924,70,4.9,2.9,214.3,57.42,388.56,,,,,,13.9,9,20140919,24.9,23.8,23.7,23.9,23.1,24.2,24,23.6,20.4,17.4
108,서울,2014-10,15.6,21.4,10.7,29,2.7,20141012,20141028,1009.5,1019.7,1027.9,1006.6,20141029,20141002,11.1,21.6,3.6,20141002,20141027,7.8,63,15,20141028,52.2,21.5,6,2.5,20141020,20141002,20141002,80,4.6,60.2,3.8,20141013,20141013,2.4,9,17.7,70,50,20141013,20141013,70,3.3,2.4,239.8,68.83,362.31,,,,,,5.6,-4.7,20141028,16.8,16,16.5,17.3,17.4,19.2,20.4,21.1,20.2,18.1
108,서울,2014-11,9,13.8,4.9,22.9,-3.1,20141101,20141113,1011,1021.5,1031.4,1008.3,20141115,20141128,7.1,13.5,1.5,20141101,20141112,1.1,61,18,20141110,41.5,18,,,20141128,,,43.8,3.4,,,20141102,,2.5,8.7,16.6,290,270,20141102,20141102,270,4.3,2.9,194.1,63.54,250.26,,,,,,-.8,-8.3,20141115,8.5,8.6,9.1,10,10.5,12.9,15,16.5,19,18.2
108,서울,2014-12,-2.9,1.5,-6.7,7.9,-13.2,20141201,20141218,1013.5,1024.5,1037.5,1009,20141209,20141201,2.9,9.4,.9,20141201,20141218,-10.9,56,21,20141202,17.9,10.5,,,20141215,,,34.8,2.1,,,20141231,,2.8,11.1,19.3,290,290,20141201,20141201,290,3.4,1.7,195.6,65.48,229.68,3.5,3.5,8.6,20141215,20141215,-10.7,-16.7,20141218,-1.3,-1,-.3,1.1,2.2,5.4,8.6,11,16.8,17.7
108,서울,2015-01,-.9,3.6,-4.8,9,-9.8,20150115,20150101,1013.8,1024.7,1036.9,1010.8,20150113,20150106,3.4,8.7,1.1,20150126,20150107,-9,56,22,20150113,11.3,4,,,20150118,,,33.8,2,,,20150130,,2.6,7.7,13,270,270,20150117,20150102,270,3.9,1.9,193.3,62.94,245.05,5.1,5.1,5.1,20150118,20150118,-9,-15.2,20150103,-.4,-.8,-.7,-.1,.3,2.7,5,7.1,14.2,16.8
108,서울,2015-02,1,6,-2.9,13,-13,20150215,20150209,1011.4,1022.2,1035.3,1011.3,20150201,20150211,4.1,9.9,.7,20150222,20150208,-6.8,59,17,20150212,22.7,10.5,,,20150216,,,43.2,2.9,,,20150226,,2.9,8.5,14.5,270,270,20150226,20150208,270,4.5,,180,59.5,267.04,.3,.3,.3,20150209,20150209,-6.8,-16.4,20150209,2,1.1,.9,1.2,1.3,2.6,4.2,5.8,12.2,15.5
